TransactionID,UserID,BookID,IssueDate,DueDate,ReturnDate,Status,FineAmount,RenewalCount
5001,1001,101,06-07-2026,13-07-2026,12-Jul-26,Returned,0,257216552
5002,1002,102,08-07-2026,15-07-2026,15-Jul-26,Returned,0,257216552
5003,1003,103,13-07-2026,20-07-2026,(empty),Active,0,257216552
5004,1004,104,09-07-2026,16-07-2026,17-Jul-26,Returned,10,257216552
5005,1005,105,11-07-2026,18-07-2026,(empty),Active,0,257216552
5006,1001,101,01-09-2026,08-09-2026,09-09-2026,Returned,10,0
5007,1001,102,02-09-2026,09-09-2026,08-09-2026,Returned,0,0
5008,1002,103,01-09-2026,22-09-2026,,Active,0,2
5009,1003,102,02-09-2026,09-09-2026,07-09-2026,Returned,0,0
5010,1004,101,03-09-2026,17-09-2026,,Active,0,1
5011,1002,104,01-07-2026,08-07-2026,,Active,0,0
